DATE,FEDFUNDS,unrate
1998-11-01,4.83,4.4
1998-12-01,4.68,4.4
1999-01-01,4.63,4.3
1999-02-01,4.76,4.4
1999-03-01,4.81,4.2
1999-04-01,4.74,4.3
1999-05-01,4.74,4.2
1999-06-01,4.76,4.3
1999-07-01,4.99,4.3
1999-08-01,5.07,4.2
1999-09-01,5.22,4.2
1999-10-01,5.2,4.1
1999-11-01,5.42,4.1
1999-12-01,5.3,4.0
2000-01-01,5.45,4.0
2000-02-01,5.73,4.1
2000-03-01,5.85,4.0
2000-04-01,6.02,3.8
2000-05-01,6.27,4.0
2000-06-01,6.53,4.0
2000-07-01,6.54,4.0
2000-08-01,6.5,4.1
2000-09-01,6.52,3.9
2000-10-01,6.51,3.9
2000-11-01,6.51,3.9
2000-12-01,6.4,3.9
2001-01-01,5.98,4.2
2001-02-01,5.49,4.2
2001-03-01,5.31,4.3
2001-04-01,4.8,4.4
2001-05-01,4.21,4.3
2001-06-01,3.97,4.5
2001-07-01,3.77,4.6
2001-08-01,3.65,4.9
2001-09-01,3.07,5.0
2001-10-01,2.49,5.3
2001-11-01,2.09,5.5
2001-12-01,1.82,5.7
2002-01-01,1.73,5.7
2002-02-01,1.74,5.7
2002-03-01,1.73,5.7
2002-04-01,1.75,5.9
2002-05-01,1.75,5.8
2002-06-01,1.75,5.8
2002-07-01,1.73,5.8
2002-08-01,1.74,5.7
2002-09-01,1.75,5.7
2002-10-01,1.75,5.7
2002-11-01,1.34,5.9
2002-12-01,1.24,6.0
2003-01-01,1.24,5.8
2003-02-01,1.26,5.9
2003-03-01,1.25,5.9
2003-04-01,1.26,6.0
2003-05-01,1.26,6.1
2003-06-01,1.22,6.3
2003-07-01,1.01,6.2
2003-08-01,1.03,6.1
2003-09-01,1.01,6.1
2003-10-01,1.01,6.0
2003-11-01,1.0,5.8
2003-12-01,0.98,5.7
2004-01-01,1.0,5.7
2004-02-01,1.01,5.6
2004-03-01,1.0,5.8
2004-04-01,1.0,5.6
2004-05-01,1.0,5.6
2004-06-01,1.03,5.6
2004-07-01,1.26,5.5
2004-08-01,1.43,5.4
2004-09-01,1.61,5.4
2004-10-01,1.76,5.5
2004-11-01,1.93,5.4
2004-12-01,2.16,5.4
2005-01-01,2.28,5.3
2005-02-01,2.5,5.4
2005-03-01,2.63,5.2
2005-04-01,2.79,5.2
2005-05-01,3.0,5.1
2005-06-01,3.04,5.0
2005-07-01,3.26,5.0
2005-08-01,3.5,4.9
2005-09-01,3.62,5.0
2005-10-01,3.78,5.0
2005-11-01,4.0,5.0
2005-12-01,4.16,4.9
2006-01-01,4.29,4.7
2006-02-01,4.49,4.8
2006-03-01,4.59,4.7
2006-04-01,4.79,4.7
2006-05-01,4.94,4.6
2006-06-01,4.99,4.6
2006-07-01,5.24,4.7
2006-08-01,5.25,4.7
2006-09-01,5.25,4.5
2006-10-01,5.25,4.4
2006-11-01,5.25,4.5
2006-12-01,5.24,4.4
2007-01-01,5.25,4.6
2007-02-01,5.26,4.5
2007-03-01,5.26,4.4
2007-04-01,5.25,4.5
2007-05-01,5.25,4.4
2007-06-01,5.25,4.6
2007-07-01,5.26,4.7
2007-08-01,5.02,4.6
2007-09-01,4.94,4.7
2007-10-01,4.76,4.7
2007-11-01,4.49,4.7
2007-12-01,4.24,5.0
2008-01-01,3.94,5.0
2008-02-01,2.98,4.9
2008-03-01,2.61,5.1
2008-04-01,2.28,5.0
2008-05-01,1.98,5.4
2008-06-01,2.0,5.6
2008-07-01,2.01,5.8
2008-08-01,2.0,6.1
2008-09-01,1.81,6.1
2008-10-01,0.97,6.5
2008-11-01,0.39,6.8
2008-12-01,0.16,7.3
2009-01-01,0.15,7.8
2009-02-01,0.22,8.3
2009-03-01,0.18,8.7
2009-04-01,0.15,9.0
2009-05-01,0.18,9.4
2009-06-01,0.21,9.5
2009-07-01,0.16,9.5
2009-08-01,0.16,9.6
2009-09-01,0.15,9.8
2009-10-01,0.12,10.0
2009-11-01,0.12,9.9
2009-12-01,0.12,9.9
2010-01-01,0.11,9.8
2010-02-01,0.13,9.8
2010-03-01,0.16,9.9
2010-04-01,0.2,9.9
2010-05-01,0.2,9.6
2010-06-01,0.18,9.4
2010-07-01,0.18,9.4
2010-08-01,0.19,9.5
2010-09-01,0.19,9.5
2010-10-01,0.19,9.4
2010-11-01,0.19,9.8
2010-12-01,0.18,9.3
2011-01-01,0.17,9.1
2011-02-01,0.16,9.0
2011-03-01,0.14,9.0
2011-04-01,0.1,9.1
2011-05-01,0.09,9.0
2011-06-01,0.09,9.1
2011-07-01,0.07,9.0
2011-08-01,0.1,9.0
2011-09-01,0.08,9.0
2011-10-01,0.07,8.8
2011-11-01,0.08,8.6
2011-12-01,0.07,8.5
2012-01-01,0.08,8.3
2012-02-01,0.1,8.3
2012-03-01,0.13,8.2
2012-04-01,0.14,8.2
2012-05-01,0.16,8.2
2012-06-01,0.16,8.2
2012-07-01,0.16,8.2
2012-08-01,0.13,8.1
2012-09-01,0.14,7.8
2012-10-01,0.16,7.8
2012-11-01,0.16,7.7
2012-12-01,0.16,7.9
2013-01-01,0.14,8.0
2013-02-01,0.15,7.7
2013-03-01,0.14,7.5
2013-04-01,0.15,7.6
2013-05-01,0.11,7.5
2013-06-01,0.09,7.5
2013-07-01,0.09,7.3
2013-08-01,0.08,7.2
2013-09-01,0.08,7.2
2013-10-01,0.09,7.2
2013-11-01,0.08,6.9
2013-12-01,0.09,6.7
2014-01-01,0.07,6.6
2014-02-01,0.07,6.7
2014-03-01,0.08,6.7
2014-04-01,0.09,6.2
2014-05-01,0.09,6.3
2014-06-01,0.1,6.1
2014-07-01,0.09,6.2
2014-08-01,0.09,6.1
2014-09-01,0.09,5.9
2014-10-01,0.09,5.7
2014-11-01,0.09,5.8
2014-12-01,0.12,5.6
2015-01-01,0.11,5.7
2015-02-01,0.11,5.5
2015-03-01,0.11,5.4
2015-04-01,0.12,5.4
2015-05-01,0.12,5.6
2015-06-01,0.13,5.3
2015-07-01,0.13,5.2
2015-08-01,0.14,5.1
2015-09-01,0.14,5.0
2015-10-01,0.12,5.0
2015-11-01,0.12,5.1
2015-12-01,0.24,5.0
2016-01-01,0.34,4.8
2016-02-01,0.38,4.9
2016-03-01,0.36,5.0
2016-04-01,0.37,5.1
2016-05-01,0.37,4.8
2016-06-01,0.38,4.9
2016-07-01,0.39,4.8
2016-08-01,0.4,4.9
2016-09-01,0.4,5.0
2016-10-01,0.4,4.9
2016-11-01,0.41,4.7
2016-12-01,0.54,4.7
2017-01-01,0.65,4.7
2017-02-01,0.66,4.6
2017-03-01,0.79,4.4
2017-04-01,0.9,4.4
2017-05-01,0.91,4.4
2017-06-01,1.04,4.3
2017-07-01,1.15,4.3
2017-08-01,1.16,4.4
2017-09-01,1.15,4.3
2017-10-01,1.15,4.2
2017-11-01,1.16,4.2
2017-12-01,1.3,4.1
2018-01-01,1.41,4.0
2018-02-01,1.42,4.1
2018-03-01,1.51,4.0
2018-04-01,1.69,4.0
2018-05-01,1.7,3.8
2018-06-01,1.82,4.0
2018-07-01,1.91,3.8
2018-08-01,1.91,3.8
2018-09-01,1.95,3.7
2018-10-01,2.19,3.8
2018-11-01,2.2,3.8
2018-12-01,2.27,3.9
2019-01-01,2.4,4.0
2019-02-01,2.4,3.8
2019-03-01,2.41,3.8
2019-04-01,2.42,3.7
2019-05-01,2.39,3.6
2019-06-01,2.38,3.6
2019-07-01,2.4,3.7
2019-08-01,2.13,3.6
2019-09-01,2.04,3.5
2019-10-01,1.83,3.6
2019-11-01,1.55,3.6
2019-12-01,1.55,3.6
2020-01-01,1.55,3.6
2020-02-01,1.58,3.5
2020-03-01,0.65,4.4
2020-04-01,0.05,14.8
2020-05-01,0.05,13.2
2020-06-01,0.08,11.0
2020-07-01,0.09,10.2
2020-08-01,0.1,8.4
2020-09-01,0.09,7.8
2020-10-01,0.09,6.8
2020-11-01,0.09,6.7
2020-12-01,0.09,6.7
2021-01-01,0.09,6.4
2021-02-01,0.08,6.2
2021-03-01,0.07,6.1
2021-04-01,0.07,6.1
2021-05-01,0.06,5.8
2021-06-01,0.08,5.9
2021-07-01,0.1,5.4
2021-08-01,0.09,5.1
2021-09-01,0.08,4.7
2021-10-01,0.08,4.5
2021-11-01,0.08,4.1
2021-12-01,0.08,3.9
2022-01-01,0.08,4.0
2022-02-01,0.08,3.8
2022-03-01,0.2,3.6
2022-04-01,0.33,3.7
2022-05-01,0.77,3.6
2022-06-01,1.21,3.6
2022-07-01,1.68,3.5
2022-08-01,2.33,3.6
2022-09-01,2.56,3.5
2022-10-01,3.08,3.6
2022-11-01,3.78,3.6
2022-12-01,4.1,3.5
2023-01-01,4.33,3.4
2023-02-01,4.57,3.6
2023-03-01,4.65,3.5
2023-04-01,4.83,3.4
2023-05-01,5.06,3.7
2023-06-01,5.08,3.6
2023-07-01,5.12,3.5
2023-08-01,5.33,3.8
2023-09-01,5.33,3.8
2023-10-01,5.33,3.8
2023-11-01,5.33,3.7
2023-12-01,5.33,3.7
2024-01-01,5.33,3.7
2024-02-01,5.33,3.9
2024-03-01,5.33,3.8
2024-04-01,5.33,3.9
2024-05-01,5.33,4.0
2024-06-01,5.33,4.1
2024-07-01,5.33,4.3
2024-08-01,5.33,4.2
2024-09-01,5.13,4.1
